Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross income,Rating,Month,Hour,Hour_12
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.53,494.18,2019-02-25,19:39,Credit card,470.65,23.53,4.8,2,19,7
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.13,737.76,2019-01-28,12:43,Cash,702.63,35.13,4.5,1,12,12
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.51,703.75,2019-01-10,14:49,Cash,670.24,33.51,5.1,1,14,2
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.66,202.82,2019-03-15,10:12,Credit card,193.16,9.66,5.1,3,10,10
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.88,417.56,2019-02-06,10:42,Ewallet,397.68,19.88,7.5,2,10,10
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.41,71.53,2019-01-07,12:28,Ewallet,68.12,3.41,6.8,1,12,12
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.66,328.76,2019-03-10,19:15,Ewallet,313.1,15.66,7.0,3,19,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.4,575.32,2019-01-15,17:17,Ewallet,547.92,27.4,4.7,1,17,5
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.97,461.33,2019-03-23,13:24,Ewallet,439.36,21.97,7.6,3,13,1
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.05,253.01,2019-03-03,13:01,Cash,240.96,12.05,7.7,3,13,1
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.34,91.06,2019-01-17,18:45,Ewallet,86.72,4.34,7.9,1,18,6
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.61,117.83,2019-02-02,10:11,Cash,112.22,5.61,6.3,2,10,10
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.74,435.46,2019-02-08,13:03,Cash,414.72,20.74,5.6,2,13,1
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39,Cash,789.6,39.48,7.6,3,20,8
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.54,32.28,2019-03-16,19:47,Cash,30.74,1.54,7.2,3,19,7
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.79,394.63,2019-03-09,18:00,Cash,375.84,18.79,9.5,3,18,6
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.51,535.72,2019-02-27,17:24,Credit card,510.21,25.51,8.4,2,17,5
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0,189.09,2019-02-06,15:47,Ewallet,180.09,9.0,4.1,2,15,3
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.68,119.26,2019-02-10,12:45,Credit card,113.58,5.68,8.1,2,12,12
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.32,867.62,2019-03-19,17:08,Ewallet,826.3,41.32,7.9,3,17,5
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19,Cash,639.8,31.99,9.5,2,10,10
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.15,234.1,2019-02-10,15:10,Cash,222.95,11.15,8.5,2,15,3
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.57,75.05,2019-03-22,14:42,Ewallet,71.48,3.57,6.5,3,14,2
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.77,16.2,2019-01-25,15:46,Credit card,15.43,0.77,6.1,1,15,3
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.62,33.94,2019-03-07,11:49,Ewallet,32.32,1.62,6.5,3,11,11
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.39,722.23,2019-02-28,19:01,Cash,687.84,34.39,8.2,2,19,7
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.43,93.11,2019-03-27,11:26,Cash,88.68,4.43,5.8,3,11,11
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28,Ewallet,716.8,35.84,6.6,2,11,11
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.17,759.68,2019-01-20,15:55,Cash,723.5,36.17,5.4,1,15,3
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.18,192.84,2019-03-12,20:36,Cash,183.66,9.18,9.3,3,20,8
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.71,77.93,2019-02-15,17:47,Credit card,74.22,3.71,10.0,2,17,5
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.72,351.1,2019-02-24,10:55,Ewallet,334.38,16.72,7.0,2,10,10
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.78,520.41,2019-02-03,13:40,Ewallet,495.63,24.78,10.0,2,13,1
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.9,166.0,2019-03-06,12:27,Credit card,158.1,7.9,8.6,3,12,12
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.15,318.11,2019-02-14,14:35,Cash,302.96,15.15,7.6,2,14,2
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.94,166.64,2019-03-13,16:40,Cash,158.7,7.94,5.8,3,16,4
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.35,70.29,2019-02-10,15:43,Ewallet,66.94,3.35,6.7,2,15,3
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.28,614.94,2019-01-07,15:01,Ewallet,585.66,29.28,9.9,1,15,3
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.38,827.08,2019-01-24,10:04,Cash,787.7,39.38,6.4,1,10,10
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.92,19.25,2019-02-02,18:50,Cash,18.33,0.92,4.3,2,18,6
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46,Credit card,894.8,44.74,9.6,1,12,12
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19,Cash,621.2,31.06,5.9,2,16,4
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.28,152.84,2019-03-05,18:17,Ewallet,145.56,7.28,4.0,3,18,6
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.77,478.23,2019-03-09,18:21,Cash,455.46,22.77,8.7,3,18,6
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6,705.63,2019-01-22,10:55,Ewallet,672.03,33.6,9.4,1,10,10
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.82,437.32,2019-01-13,17:04,Credit card,416.5,20.82,5.4,1,17,5
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.07,463.43,2019-01-09,14:20,Credit card,441.36,22.07,8.6,1,14,2
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0,189.09,2019-01-12,15:48,Credit card,180.09,9.0,5.7,1,15,3
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.16,822.26,2019-03-05,16:24,Ewallet,783.1,39.16,6.6,3,16,4
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.1,107.0,2019-01-22,18:56,Cash,101.9,5.1,6.0,1,18,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.76,624.9,2019-01-21,14:42,Credit card,595.14,29.76,5.5,1,14,2
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.5,304.54,2019-01-26,19:56,Ewallet,290.04,14.5,6.4,1,19,7
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37,Ewallet,154.0,7.7,6.6,1,18,6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.07,337.51,2019-02-23,18:45,Credit card,321.44,16.07,8.3,2,18,6
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.23,256.78,2019-03-09,10:17,Cash,244.55,12.23,6.6,3,10,10
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.07,610.49,2019-03-05,14:31,Ewallet,581.42,29.07,4.0,3,14,2
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23,Cash,382.6,19.13,9.9,3,10,10
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.28,362.94,2019-03-27,20:35,Credit card,345.66,17.28,7.3,3,20,8
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.12,44.59,2019-01-02,16:57,Cash,42.47,2.12,5.7,1,16,4
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.1,485.04,2019-02-27,17:55,Cash,461.94,23.1,6.1,2,17,5
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.48,199.0,2019-01-23,10:25,Cash,189.52,9.48,7.1,1,10,10
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54,Ewallet,448.6,22.43,8.2,1,19,7
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.69,161.55,2019-01-10,16:42,Ewallet,153.86,7.69,5.1,1,16,4
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.96,608.2,2019-03-12,12:09,Credit card,579.24,28.96,8.6,3,12,12
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.49,94.24,2019-02-06,20:05,Credit card,89.75,4.49,6.6,2,20,8
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.86,102.02,2019-03-08,20:38,Ewallet,97.16,4.86,7.2,3,20,8
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.94,922.64,2019-03-29,10:25,Ewallet,878.7,43.94,5.1,3,10,10
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.74,78.44,2019-02-09,13:11,Cash,74.7,3.74,4.1,2,13,1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.91,166.16,2019-03-23,10:16,Ewallet,158.25,7.91,9.3,3,10,10
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14,Cash,496.2,24.81,7.4,3,18,6
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.44,51.15,2019-03-26,19:20,Cash,48.71,2.44,4.1,3,19,7
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.35,742.3,2019-03-01,13:22,Cash,706.95,35.35,7.2,3,13,1
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.38,218.01,2019-02-01,11:27,Cash,207.63,10.38,4.9,2,11,11
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.48,367.04,2019-03-28,16:44,Cash,349.56,17.48,9.9,3,16,4
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.62,223.07,2019-03-19,18:19,Cash,212.45,10.62,8.0,3,18,6
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.34,931.04,2019-01-12,14:50,Ewallet,886.7,44.34,7.3,1,14,2
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.21,172.49,2019-01-05,20:54,Credit card,164.28,8.21,7.9,1,20,8
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.64,391.42,2019-03-22,20:19,Cash,372.78,18.64,7.4,3,20,8
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.29,321.11,2019-03-24,10:43,Cash,305.82,15.29,4.2,3,10,10
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.98,860.68,2019-03-03,14:30,Cash,819.7,40.98,9.2,3,14,2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.65,34.63,2019-02-05,11:32,Ewallet,32.98,1.65,4.6,2,11,11
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.73,309.36,2019-02-05,10:41,Credit card,294.63,14.73,7.8,2,10,10
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.49,535.37,2019-02-15,12:44,Cash,509.88,25.49,8.4,2,12,12
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.13,548.76,2019-01-19,20:07,Ewallet,522.63,26.13,4.3,1,20,8
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.36,763.47,2019-02-01,20:31,Credit card,727.11,36.36,9.5,2,20,8
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.05,85.11,2019-03-02,13:01,Credit card,81.06,4.05,7.1,3,13,1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.48,115.18,2019-03-05,12:29,Ewallet,109.7,5.48,5.3,3,12,12
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.57,53.93,2019-01-16,15:26,Ewallet,51.36,2.57,5.2,1,15,3
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48,Ewallet,109.6,5.48,6.0,2,20,8
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.34,112.22,2019-01-20,20:38,Ewallet,106.88,5.34,4.1,1,20,8
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.82,836.3,2019-02-14,17:03,Credit card,796.48,39.82,5.2,2,17,5
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.99,419.83,2019-01-12,12:02,Credit card,399.84,19.99,6.5,1,12,12
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.98,944.62,2019-03-09,17:26,Credit card,899.64,44.98,4.2,3,17,5
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.56,536.84,2019-03-13,19:52,Credit card,511.28,25.56,4.6,3,19,7
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.59,474.35,2019-03-09,14:57,Ewallet,451.76,22.59,7.3,3,14,2
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.79,688.62,2019-03-10,18:44,Credit card,655.83,32.79,4.5,3,18,6
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.06,169.31,2019-01-27,13:26,Cash,161.25,8.06,9.0,1,13,1
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.28,299.85,2019-01-08,16:17,Credit card,285.57,14.28,5.9,1,16,4
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.42,575.74,2019-01-08,15:57,Ewallet,548.32,27.42,8.5,1,15,3
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.63,853.15,2019-02-08,11:15,Ewallet,812.52,40.63,7.2,2,11,11
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.87,291.21,2019-01-25,13:18,Cash,277.34,13.87,7.5,1,13,1
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.64,580.42,2019-03-06,20:34,Cash,552.78,27.64,8.3,3,20,8
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.97,146.33,2019-02-10,18:36,Cash,139.36,6.97,7.4,2,18,6
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.24,550.93,2019-02-17,14:40,Credit card,524.7,26.24,8.8,2,14,2
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,16:43,Ewallet,487.8,24.39,5.3,3,16,4
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.53,284.19,2019-02-18,19:39,Cash,270.66,13.53,6.2,2,19,7
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.58,138.13,2019-01-18,20:59,Credit card,131.55,6.58,8.8,1,20,8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.33,216.85,2019-02-18,15:39,Cash,206.52,10.33,9.8,2,15,3
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.96,545.05,2019-02-16,12:21,Cash,519.1,25.96,8.2,2,12,12
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,19:25,Ewallet,580.0,29.0,9.2,3,19,7
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,13:00,Credit card,898.0,44.9,5.4,1,13,1
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,13:48,Cash,905.0,45.25,8.1,1,13,1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,19:57,Cash,686.0,34.3,9.1,2,19,7
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.52,31.93,2019-02-22,10:36,Credit card,30.41,1.52,8.4,2,10,10
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.38,491.08,2019-01-21,16:37,Ewallet,467.7,23.38,8.0,1,16,4
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.88,291.44,2019-03-08,17:11,Credit card,277.56,13.88,9.5,3,17,5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28,Ewallet,301.4,15.07,9.2,2,12,12
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.23,277.79,2019-03-19,12:46,Credit card,264.56,13.23,5.6,3,12,12
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.74,603.62,2019-03-06,15:07,Credit card,574.88,28.74,6.2,3,15,3
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.98,272.66,2019-03-27,13:48,Credit card,259.68,12.98,4.9,3,13,1
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.31,384.47,2019-03-23,19:20,Credit card,366.16,18.31,4.8,3,19,7
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.1,254.02,2019-03-11,16:07,Credit card,241.92,12.1,7.3,3,16,4
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.46,786.62,2019-01-29,11:56,Credit card,749.16,37.46,7.4,1,11,11
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.94,103.82,2019-02-07,18:23,Ewallet,98.88,4.94,9.9,2,18,6
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.39,680.15,2019-01-28,13:05,Cash,647.76,32.39,9.3,1,13,1
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.07,484.52,2019-02-20,15:55,Credit card,461.45,23.07,9.0,2,15,3
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.61,75.78,2019-01-04,19:40,Cash,72.17,3.61,6.1,1,19,7
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,13:58,Ewallet,251.4,12.57,9.7,3,13,1
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.75,918.73,2019-03-30,14:43,Ewallet,874.98,43.75,6.0,3,14,2
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.02,588.36,2019-03-27,19:18,Ewallet,560.34,28.02,10.0,3,19,7
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.27,362.71,2019-01-19,19:39,Credit card,345.44,17.27,8.3,1,19,7
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.18,66.87,2019-02-25,16:21,Cash,63.69,3.18,6.0,2,16,4
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.03,336.56,2019-03-13,19:44,Credit card,320.53,16.03,7.0,3,19,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,19:42,Ewallet,152.8,7.64,6.5,1,19,7
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2019-02-20,15:24,Credit card,399.0,19.95,5.9,2,15,3
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.03,357.59,2019-02-25,14:12,Ewallet,340.56,17.03,5.6,2,14,2
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,13:32,Cash,955.8,47.79,4.8,1,13,1
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,16:20,Credit card,989.8,49.49,8.7,2,16,4
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.38,323.06,2019-01-19,16:31,Cash,307.68,15.38,6.5,1,16,4
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.33,510.97,2019-02-01,15:10,Credit card,486.64,24.33,8.5,2,15,3
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5,367.55,2019-01-03,11:36,Ewallet,350.05,17.5,5.5,1,11,11
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.01,420.26,2019-01-26,12:45,Credit card,400.25,20.01,9.4,1,12,12
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,2019-03-03,19:17,Cash,166.8,8.34,6.3,3,19,7
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.87,333.21,2019-01-19,17:34,Credit card,317.34,15.87,9.8,1,17,5
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.92,166.24,2019-01-18,12:04,Ewallet,158.32,7.92,8.7,1,12,12
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.23,319.79,2019-03-21,16:21,Ewallet,304.56,15.23,8.8,3,16,4
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.87,186.23,2019-03-03,17:01,Credit card,177.36,8.87,9.6,3,17,5
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.88,165.45,2019-02-13,10:50,Credit card,157.57,7.88,4.8,2,10,10
